id,altura_fin_derecha,altura_fin_izquierda,altura_inicio_derecha,altura_inicio_izquierda,categoria,departamento_id,departamento_nombre,fuente,localidad_censal_id,localidad_censal_nombre,nombre,provincia_id,provincia_nombre
1402123001685,0,0,0,0,CALLE,14021,Colón,INDEC,14021230,Río Ceballos,LOS AROMOS,14,Córdoba
1402123001780,0,0,0,0,CALLE,14021,Colón,INDEC,14021230,Río Ceballos,MAIPU,14,Córdoba
1402123001120,0,0,0,0,CALLE,14021,Colón,INDEC,14021230,Río Ceballos,D QUIROS,14,Córdoba
1402123002160,0,0,0,0,CALLE,14021,Colón,INDEC,14021230,Río Ceballos,ROBERTO ARLT,14,Córdoba
1402123001305,0,0,0,0,CALLE,14021,Colón,INDEC,14021230,Río Ceballos,ESTANISLAO ZEBALLOS,14,Córdoba
1402123001330,0,0,0,0,CALLE,14021,Colón,INDEC,14021230,Río Ceballos,FLORIDA,14,Córdoba
1402123001525,0,0,0,0,CALLE,14021,Colón,INDEC,14021230,Río Ceballos,JOSE LUIS CABEZAS,14,Córdoba
1402123001585,0,0,0,0,CALLE,14021,Colón,INDEC,14021230,Río Ceballos,JUJUY,14,Córdoba
1402123001765,0,0,0,0,CALLE,14021,Colón,INDEC,14021230,Río Ceballos,LUIS MARIA CAMPOS,14,Córdoba
1402124000275,0,0,0,0,CALLE,14021,Colón,INDEC,14021240,Saldán,CARACAS,14,Córdoba
1402123001955,0,0,0,0,CALLE,14021,Colón,INDEC,14021230,Río Ceballos,PAUL HARRIS,14,Córdoba
1402125000035,0,0,0,0,CALLE,14021,Colón,INDEC,14021250,Salsipuedes,ABELLA CAPRILE,14,Córdoba
1402123002190,0,0,0,0,CALLE,14021,Colón,INDEC,14021230,Río Ceballos,RUBEN DARIO,14,Córdoba
1402123002210,0,0,0,0,CALLE,14021,Colón,INDEC,14021230,Río Ceballos,SALK,14,Córdoba
1402123002225,0,0,0,0,CALLE,14021,Colón,INDEC,14021230,Río Ceballos,SAN JOSE,14,Córdoba
1402125000275,0,0,0,0,CALLE,14021,Colón,INDEC,14021250,Salsipuedes,B ROLDAN,14,Córdoba
1402123002390,0,0,0,0,CALLE,14021,Colón,INDEC,14021230,Río Ceballos,VIRGEN DE LUJAN,14,Córdoba
