Empresa,Resolución,Fecha,Expediente,Multa (UT),Unidad,Multa ($),Discriminación,Tipo Sanción,Año
Telecom Argentina S.A.,421-DISPAFTICDINAU/2015,08/01/15,8916-EXPCNC/2014,$ 400.000,UT,$ 18.760,Cambio de Domicilio,Multa,2015
Telecom Argentina S.A.,422-DISPAFTICDINAU/2015,08/01/15,8459-EXPCNC/2014,$ 1.200.000,UT,$ 56.280,Instalación Servicio,Multa,2015
Telecom Argentina S.A.,454-DISPAFTICDINAU/2015,08/01/15,12250-EXPCNC/2014,$ 800.000,UT,$ 37.520,Cambio de Domicilio,Multa,2015
Telefónica de Argentina S.A.,455-DISPAFTICDINAU/2015,08/01/15,15654-EXPCNC/2014,$ 800.000,UT,$ 37.520,Reparación Servicio,Multa,2015
Telefónica de Argentina S.A.,456-DISPAFTICDINAU/2015,08/01/15,17895-EXPCNC/2014,$ 400.000,UT,$ 18.760,Guia Telefónica,Multa,2015
Telecom Argentina S.A.,423-DISPAFTICDINAU/2015,08/01/15,3011-EXPCNC/2014,$ 800.000,UT,$ 37.520,Instalación Servicio,Multa,2015
Telecom Argentina S.A.,424-DISPAFTICDINAU/2015,08/01/15,1024-EXPCNC/2014,$ 2.000.000,UT,$ 93.800,Reparación Servicio,Multa,2015
Telecom Argentina S.A.,425-DISPAFTICDINAU/2015,08/01/15,14865-EXPCNC/2013,$ 400.000,UT,$ 18.760,Instalación Servicio,Multa,2015
Telecom Argentina S.A.,426-DISPAFTICDINAU/2015,08/01/15,1359-EXPCNC/2015,$ 1.500.000,UT,$ 70.350,Reparación Servicio,Multa,2015
Telefónica de Argentina S.A.,427-DISPAFTICDINAU/2015,08/01/15,75-EXPCNC/2014,$ 1.600.000,UT,$ 75.040,Reparación Servicio,Multa,2015
Telecom Argentina S.A.,428-DISPAFTICDINAU/2015,08/01/15,10930-EXPCNC/2014,$ 2.500.000,UT,$ 117.250,Reparación Servicio,Multa,2015
Telecom Argentina S.A.,430-DISPAFTICDINAU/2015,08/01/15,695-EXPCNC/2015,$ 100.000,UT,$ 4.690,Reparación Servicio,Multa,2015
Telecom Argentina S.A.,431-DISPAFTICDINAU/2015,08/01/15,2098-EXPCNC/2015,$ 3.000,UT,$ 141,Facturación,Multa,2015
Telefónica Moviles Argentina,432-DISPAFTICDINAU/2015,08/01/15,452-EXPAFTIC/2015,$ 800.000,UT,$ 37.520,Reparación Servicio,Multa,2015
Telefónica de Argentina S.A.,433-DISPAFTICDINAU/2015,08/01/15,2100-EXPAFTIC/2015,$ 1.600.000,UT,$ 75.040,Instalación Servicio,Multa,2015
Telefónica de Argentina S.A.,434-DISPAFTICDINAU/2015,08/01/15,1046-EXPAFTIC/2015,$ 800.000,UT,$ 37.520,Reparación Servicio,Multa,2015
